epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0216,2.09968,4.78053,4.66105,1.83071,0,0,0,0,0,0,0,0,2.26596,4.5994,4.7128,2.04289,0,0,0
2,21.0251,2.08727,4.85528,4.64021,1.93258,0,0,0,0,0,0,0,0,2.24878,4.54361,4.71238,2.0267,4.9802e-06,4.9802e-06,4.9802e-06
3,29.7812,2.16626,4.95888,4.68873,1.90479,0,0,0,0,0,0,0,0,2.21952,4.46021,4.7121,1.99681,9.9208e-06,9.9208e-06,9.9208e-06
4,38.1661,2.03463,4.76168,4.61572,1.82072,0,0,0,0,0,0,0,0,2.19327,4.34909,4.70204,1.95642,1.48218e-05,1.48218e-05,1.48218e-05
5,46.3217,1.9977,4.65741,4.65232,1.80205,0,0,0,0,0,0,0,0,2.18132,4.24208,4.68584,1.91024,1.96832e-05,1.96832e-05,1.96832e-05
6,54.7236,1.88997,4.41702,4.60339,1.77235,0,0,0,0,0,0,0,0,2.13179,4.15349,4.66735,1.85406,2.4505e-05,2.4505e-05,2.4505e-05
7,62.7627,1.93197,4.44044,4.59318,1.78666,0,0,0,0,0,0,0,0,2.03429,4.05109,4.64153,1.75868,2.92872e-05,2.92872e-05,2.92872e-05
8,70.8915,1.84222,4.25583,4.54022,1.68384,0,0,0,0,0,0,0,0,1.9028,3.96327,4.59458,1.64993,3.40298e-05,3.40298e-05,3.40298e-05
9,79.8163,1.85039,4.12147,4.56356,1.65355,0,0,0,0,0,0,0,0,1.84054,3.88294,4.55413,1.5957,3.87328e-05,3.87328e-05,3.87328e-05
10,88.0871,1.7562,3.84031,4.47476,1.59174,0,0,0,0,0,0,0,0,1.79147,3.8139,4.51472,1.54007,4.33962e-05,4.33962e-05,4.33962e-05
11,97.3682,1.81052,4.00226,4.5332,1.60677,0,0,0,0,0,0,0,0,1.79542,3.76661,4.49242,1.52132,4.802e-05,4.802e-05,4.802e-05
12,107.495,1.79413,3.81424,4.4798,1.6006,0,0,0,0,0,0,0,0,1.78874,3.7673,4.46389,1.49855,5.26042e-05,5.26042e-05,5.26042e-05
13,115.911,1.68392,3.68793,4.39803,1.49286,0,0,0,0,0,0,0,0,1.77918,3.75902,4.45253,1.45308,5.71488e-05,5.71488e-05,5.71488e-05
14,124.046,1.6262,3.56197,4.36974,1.4535,0,0,0,0,0,0,0,0,1.76759,3.76494,4.44296,1.43947,6.16538e-05,6.16538e-05,6.16538e-05
15,133.742,1.67367,3.56188,4.37631,1.46521,0,0,0,0,0,0,0,0,1.78794,3.76566,4.43607,1.45069,6.61192e-05,6.61192e-05,6.61192e-05
16,142.338,1.57776,3.50611,4.35817,1.38323,0,0,0,0,0,0,0,0,1.77476,3.73361,4.41063,1.45116,7.0545e-05,7.0545e-05,7.0545e-05
17,150.788,1.62478,3.65375,4.30774,1.41777,0,0,0,0,0,0,0,0,1.79257,3.72491,4.40128,1.4515,7.49312e-05,7.49312e-05,7.49312e-05
18,159.553,1.54125,3.31611,4.31687,1.35126,0,0,0,0,0,0,0,0,1.79257,3.72491,4.40128,1.4515,7.92778e-05,7.92778e-05,7.92778e-05
19,168.373,1.61079,3.43769,4.3621,1.3778,0,0,0,0,0,0,0,0,1.74015,3.68906,4.39467,1.42812,8.35848e-05,8.35848e-05,8.35848e-05
20,176.934,1.55271,3.29658,4.26636,1.38783,0,0,0,0,0,0,0,0,1.74015,3.68906,4.39467,1.42812,8.78522e-05,8.78522e-05,8.78522e-05
21,185.138,1.59482,3.43231,4.29315,1.37155,0,0,0,0,0,0,0,0,1.69878,3.68996,4.37613,1.40173,9.208e-05,9.208e-05,9.208e-05
22,193.76,1.56239,3.34654,4.31381,1.34202,0,0,0,0,0,0,0,0,1.69878,3.68996,4.37613,1.40173,9.62682e-05,9.62682e-05,9.62682e-05
23,202.65,1.61036,3.46166,4.32939,1.32818,0,0,0,0,0,0,0,0,1.65623,3.68505,4.35478,1.35555,0.000100417,0.000100417,0.000100417
24,211.343,1.53079,3.21407,4.24224,1.33793,0,0,0,0,0,0,0,0,1.65623,3.68505,4.35478,1.35555,0.000104526,0.000104526,0.000104526
25,220.23,1.56824,3.19372,4.23799,1.36105,0,0,0,0,0,0,0,0,1.606,3.65947,4.3442,1.30932,0.000108595,0.000108595,0.000108595
26,228.326,1.51197,3.13282,4.18742,1.30768,0,0,0,0,0,0,0,0,1.606,3.65947,4.3442,1.30932,0.000112625,0.000112625,0.000112625
27,237.029,1.53393,3.23962,4.24086,1.30721,0,0,0,0,0,0,0,0,1.5645,3.64848,4.32196,1.27721,0.000116615,0.000116615,0.000116615
28,245.512,1.45339,3.10225,4.16674,1.28213,0,0,0,0,0,0,0,0,1.5645,3.64848,4.32196,1.27721,0.000120566,0.000120566,0.000120566
29,253.929,1.45996,3.12158,4.20502,1.27012,0,0,0,0,0,0,0,0,1.56603,3.60407,4.30629,1.2745,0.000124477,0.000124477,0.000124477
30,262.081,1.51049,3.04818,4.11734,1.31164,0,0,0,0,0,0,0,0,1.56603,3.60407,4.30629,1.2745,0.000128348,0.000128348,0.000128348
31,270.599,1.48685,2.99667,4.14177,1.27544,0.04167,0.025,0.03323,0.01207,0,0,0,0,1.52343,3.59033,4.2864,1.24736,0.00013218,0.00013218,0.00013218
32,279.009,1.48775,3.03042,4.11878,1.28305,0.04167,0.025,0.03323,0.01207,0,0,0,0,1.52343,3.59033,4.2864,1.24736,0.000135972,0.000135972,0.000135972
33,287.558,1.43082,3.01952,4.12465,1.23015,0.05,0.05,0.04744,0.0273,0.025,0.025,0.0175,0.00956,1.52636,3.57665,4.27415,1.23901,0.000139725,0.000139725,0.000139725
34,296.478,1.40642,2.84703,4.05045,1.23596,0.05,0.05,0.04744,0.0273,0.025,0.025,0.0175,0.00956,1.52636,3.57665,4.27415,1.23901,0.000143438,0.000143438,0.000143438
35,305.42,1.46746,2.94008,4.1114,1.2488,0.09091,0.075,0.0976,0.04784,0.07955,0.05,0.05297,0.02488,1.50317,3.52737,4.26551,1.22849,0.000147111,0.000147111,0.000147111
36,314.367,1.51471,3.05295,4.05566,1.26641,0.09091,0.075,0.0976,0.04784,0.07955,0.05,0.05297,0.02488,1.50317,3.52737,4.26551,1.22849,0.000150745,0.000150745,0.000150745
37,323.398,1.41778,2.8666,4.05947,1.22302,0.13862,0.14583,0.15622,0.10951,0.12901,0.12083,0.11826,0.08117,1.51925,3.47338,4.24742,1.22895,0.000154339,0.000154339,0.000154339
38,331.786,1.34951,2.71154,3.96355,1.21434,0.13862,0.14583,0.15622,0.10951,0.12901,0.12083,0.11826,0.08117,1.51925,3.47338,4.24742,1.22895,0.000157894,0.000157894,0.000157894
39,340.592,1.41328,2.80432,3.95894,1.21409,0.10002,0.17708,0.16154,0.11427,0.09221,0.15208,0.12894,0.08813,1.51699,3.41746,4.22843,1.22281,0.000161409,0.000161409,0.000161409
40,348.908,1.39292,2.7306,3.92456,1.20274,0.10002,0.17708,0.16154,0.11427,0.09221,0.15208,0.12894,0.08813,1.51699,3.41746,4.22843,1.22281,0.000164884,0.000164884,0.000164884
41,358.718,1.40222,2.67325,3.97198,1.18083,0.13118,0.20753,0.17713,0.12663,0.09159,0.1625,0.12233,0.08233,1.49552,3.28188,4.21956,1.23194,0.00016832,0.00016832,0.00016832
42,366.851,1.26279,2.59598,3.86091,1.16815,0.13118,0.20753,0.17713,0.12663,0.09159,0.1625,0.12233,0.08233,1.49552,3.28188,4.21956,1.23194,0.000171716,0.000171716,0.000171716
43,374.879,1.35929,2.68025,3.84121,1.19266,0.10827,0.20753,0.17193,0.12777,0.07356,0.1625,0.12006,0.08307,1.4849,3.22698,4.22124,1.22472,0.000175073,0.000175073,0.000175073
44,383.128,1.34799,2.67596,3.79884,1.19878,0.10827,0.20753,0.17193,0.12777,0.07356,0.1625,0.12006,0.08307,1.4849,3.22698,4.22124,1.22472,0.00017839,0.00017839,0.00017839
