epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,803.402,1.08347,2.03377,1.07855,1.10426,0.6921,0.57356,0.63973,0.43657,0.67401,0.5201,0.54526,0.27559,1.24514,2.72943,1.70748,1.17075,0.000253399,0.000253399,0.000253399
30,829.381,1.08928,1.95327,1.08864,1.12712,0.73515,0.55963,0.63599,0.4356,0.6712,0.5148,0.56489,0.27906,1.26264,2.72005,1.67716,1.17881,0.000261122,0.000261122,0.000261122
31,855.572,1.02866,1.87051,1.02833,1.09803,0.73515,0.55963,0.63599,0.4356,0.6712,0.5148,0.56489,0.27906,1.26264,2.72005,1.67716,1.17881,0.000268766,0.000268766,0.000268766
32,881.343,1.03345,1.98639,1.01949,1.08646,0.76253,0.56967,0.65556,0.44238,0.64351,0.50574,0.54341,0.28773,1.23378,2.62639,1.60933,1.16998,0.000276331,0.000276331,0.000276331
33,907.301,1.04126,1.80074,1.01969,1.11465,0.67618,0.62962,0.6624,0.43922,0.71002,0.45116,0.55012,0.28677,1.24135,2.61075,1.5083,1.17209,0.000283816,0.000283816,0.000283816
34,932.663,0.9924,1.91149,1.02201,1.0687,0.67618,0.62962,0.6624,0.43922,0.71002,0.45116,0.55012,0.28677,1.24135,2.61075,1.5083,1.17209,0.000291222,0.000291222,0.000291222
35,957.733,0.99661,1.89581,0.95659,1.05546,0.64276,0.6439,0.67631,0.44489,0.67787,0.46479,0.55003,0.29145,1.26818,2.63073,1.42529,1.18046,0.000298549,0.000298549,0.000298549
36,983.071,1.00576,1.73222,0.95293,1.0809,0.70999,0.61074,0.66337,0.44402,0.57539,0.54127,0.55507,0.28083,1.27282,2.60483,1.39744,1.1745,0.000305797,0.000305797,0.000305797
37,1008.07,0.97904,1.75701,0.94321,1.07691,0.70999,0.61074,0.66337,0.44402,0.57539,0.54127,0.55507,0.28083,1.27282,2.60483,1.39744,1.1745,0.000312966,0.000312966,0.000312966
38,1033.51,0.9798,1.72849,0.92773,1.06168,0.65251,0.64208,0.66964,0.4539,0.50488,0.57786,0.56666,0.29505,1.27966,2.62884,1.36178,1.1859,0.000320055,0.000320055,0.000320055
